id_tags,Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
53602203,El Emperador de Todos los Males: Una Biografía del Cáncer,Siddhartha Mukherjee, 130.386, 84.751,35,Quedan 5 unidades,https://www.buscalibre.com.co/libro-el-emperador-de-todos-los-males-una-biografia-del-cancer/9786073196512/p/53602203,(4),"['Debolsillo', ' 2021', ' Tapa Blanda', 'Nuevo']",2023-11-06
54624506,La Armonia de las Celulas,Siddhartha Mukherjee, 181.454, 117.945,35,Quedan 5 unidades,https://www.buscalibre.com.co/libro-la-armonia-de-las-celulas/9788419399465/p/54624506,(1),"['Debate', ' 2023', ' Tapa Dura', 'Nuevo']",2023-11-06
4453029,Fanáticos,Siddhartha Mukherjee, 149.235, 97.002,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-fanaticos/9781439170915/p/4453029,(0),"['Scribner Book Company', ' 2018', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-11-06
1256030,Siddhartha,Hesse Hermann, 104.337, 67.819,35,Quedan 4 unidades,https://www.buscalibre.com.co/libro-siddhartha/9789974793187/p/1256030,(0),"['Centro Edi', '', ' Tapa Blanda', 'Nuevo']",2023-11-06
4121286,Siddhartha,Hermann Hesse, 141.557, 92.012,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9786073101523/p/4121286,(1),"['Debolsillo', ' 2010', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-11-06
48479628,Siddhartha (libro en Inglés),"Hesse, Herman", 91.295, 59.342,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781530871971/p/48479628,(0),"['Createspace Independent Publishing Platform', ' 2016', ' Tapa Blanda', 'Nuevo']",2023-11-06
1981721,siddhartha,hermann hesse, 74.768, 48.599,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9781416561484/p/1981721,(0),"['pocket classics', 'Nuevo']",2023-11-06
3098007,"siddhartha gautama,the buddha",lisa zamosky, 86.095, 55.962,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-gautama-the-buddha/9780743904315/p/3098007,(0),"['shell education', 'Nuevo']",2023-11-06
52505035,Siddhartha (Mint Editions) (libro en Inglés),"Hesse, Hermann ; Editions, Mint", 84.703, 55.057,35,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-mint-editions-libro-en-ingles/9781513263267/p/52505035,(0),"['Mint Editions', ' 2020', ' Tapa Blanda', 'Nuevo']",2023-11-06
52176484,Siddhartha,Hermann Hesse, 126.234, 82.052,35,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401426711/p/52176484,(0),"['Plaza & Janes Editores', ' 1999', ' 15ª edición', ' Tapa Blanda', 'Usado']",2023-11-06
