Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
Fanáticos,"Mukherjee, Siddhartha", 151.003, 75.501,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-fanaticos/9781439170915/p/4453029,(0),"['Scribner Book Company', ' 2018', ' 1ª edición', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 138.895, 69.448,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9786073101523/p/4121286,(1),"['Debolsillo', ' 2010', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
La Armonia de las Celulas,Siddhartha Mukherjee, 184.196, 92.098,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-la-armonia-de-las-celulas/9788419399465/p/54624506,(0),"['Debate', ' 2023', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 118.849, 59.425,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788497596664/p/1817751,(0),"['Debolsillo', ' 2003', ' 001ª edición', ' Tapa blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 124.895, 62.448,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401426711/p/52176484,(0),"['Plaza & Janes Editores', ' 1999', ' 15ª edición', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha,Hesse Hermann, 101.831, 50.915,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-siddhartha/9789974793187/p/1256030,(0),"['Centro Edi', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Mint Editions) (libro en Inglés),"Hesse, Hermann ; Editions, Mint", 84.520, 42.260,50,Quedan 77 unidades,https://www.buscalibre.com.co/libro-siddhartha-mint-editions-libro-en-ingles/9781513263267/p/52505035,(0),"['Mint Editions', ' 2020', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,H. Hesse, 121.066, 60.533,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401429057/p/52315548,(0),"['Plaza & Janés', ' 1990', ' Tapa blanda', 'Usado']",2023-10-21
Siddhartha,Hermann Hesse, 143.033, 71.516,50,Quedan 15 unidades,https://www.buscalibre.com.co/libro-siddhartha/9788499082523/p/3429679,(1),"['Debolsillo', ' 2010', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Herman", 91.312, 45.656,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781530871971/p/48479628,(0),"['Createspace Independent Publishing Platform', ' 2016', ' Tapa Blanda', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 74.284, 37.142,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9781416561484/p/1981721,(0),"['pocket classics', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 106.904, 53.452,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781420947960/p/48439604,(0),"['Digireads.com', ' Tapa Blanda', 'Nuevo']",2023-10-21
"siddhartha gautama,the buddha",lisa zamosky, 85.955, 42.977,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-gautama-the-buddha/9780743904315/p/3098007,(0),"['shell education', 'Nuevo']",2023-10-21
Siddhartha (Dover Thrift Editions) (libro en Inglés),"Hesse, Hermann", 73.232, 36.616,50,Quedan 46 unidades,https://www.buscalibre.com.co/libro-siddhartha-dover-thrift-editions-libro-en-ingles/9780486406534/p/1582526,(1),"['Dover Publications', ' 1998', ' Tapa Blanda', 'Nuevo']",2023-10-21
Pachamama Salvemos La Tierra: Escrito Desde El Corazon,Siddartha, 147.164, 73.582,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-pachamama-salvemos-la-tierra-escrito-desde-el-corazon/9788416316359/p/47349828,(0),"['Mandala Ediciones', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 110.252, 55.126,50,Quedan 87 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613823781/p/46980356,(0),"['Simon & Brown', ' 2012', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,"hesse, hermann", 109.104, 54.552,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781603865142/p/25960899,(0),"['watchmaker publishing', ' 2013', 'Nuevo']",2023-10-21
Siddhartha: A new Translation (Shambhala Classics) (libro en Inglés),Hermann Hesse, 79.259, 39.629,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-a-new-translation-shambhala-classics-libro-en-ingles/9781590302279/p/1823432,(0),"['Shambhala', ' 2005', ' 1ª edición', ' Libro de bolsillo', 'Nuevo']",2023-10-21
Siddartha (libro en Inglés),"Hesse, Herman", 151.385, 75.693,50,Quedan 93 unidades,https://www.buscalibre.com.co/libro-siddartha-libro-en-ingles/9781714097722/p/52295204,(0),"['Blurb', ' 2019', ' Tapa Blanda', 'Nuevo']",2023-10-21
Libro Siddhartha,Hermann Hesse, 61.640, 30.820,50,Quedan 91 unidades,https://www.buscalibre.com.co/libro-libro-siddhartha/9789875523081/p/55014251,(0),"['', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha Tarot (libro en Inglés),"Letizia, Bruno", 184.196, 92.098,50,Quedan 8 unidades,https://www.buscalibre.com.co/libro-siddhartha-tarot-libro-en-ingles/9780738773179/p/54485622,(0),"['Llewellyn Publications', ' Cards', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 88.538, 44.269,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781607960171/p/2644008,(0),"['lightning source inc', 'Nuevo']",2023-10-21
Siddhartha,"Olesch, Gunther ; Dreher, Anke ; Coulter, Amy", 85.285, 42.643,50,Quedan 89 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781501050831/p/48059601,(0),"['Createspace Independent Publishing Platform', ' Tapa Blanda', 'Nuevo']",2023-10-21
The Gene: An Intimate History (libro en Inglés),"Mukherjee, Siddhartha", 151.003, 75.501,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history-libro-en-ingles/9781476733524/p/48500046,(0),"['Scribner Book Company', ' 2017', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 114.557, 57.278,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9780997380613/p/49917508,(0),"['Wayward Park Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
seleccion: demiam; el ultimo verano de klingsor; siddhartha; el lobo estepario; relatos,hermann hesse, 110.162, 55.081,50,Quedan 44 unidades,https://www.buscalibre.com.co/libro-seleccion-demiam-el-ultimo-verano-de-klingsor-siddhartha-el-lobo-estepario-relatos/9786074151268/p/4528299,(1),"['grupo editorial tomo', ' 2009', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 198.832, 99.416,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613827697/p/48586098,(0),"['Simon & Brown', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 126.036, 63.018,50,Quedan 92 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781936041060/p/4712186,(0),"['Simon & Brown', ' 2011', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en inglés),Hermann Hesse, 93.990, 46.995,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781724472076/p/51075789,(0),"['Createspace', ' 2018', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 198.832, 99.416,50,Quedan 52 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781613827734/p/48388551,(0),"['Simon & Brown', ' 2016', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha,"Hesse, Hermann", 95.329, 47.665,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936594153/p/25527917,(0),"['Tribeca Books', ' 2010', ' Tapa Blanda', 'Nuevo']",2023-10-21
siddhartha,"Hesse, Hermann ; Ford, James H.", 156.455, 78.228,50,Quedan 86 unidades,https://www.buscalibre.com.co/libro-siddhartha-bilingual-edition-german-english/9780976072645/p/19508842,(0),"['Digital Pulse Publishing', ' 2005', ' Tapa Blanda', 'Nuevo']",2023-10-21
