Title,Author,Original Price (COP),Actual Price (COP),Discount %,Units Left,Link,Number of Opinions,Extra Information,Date
Siddhartha,"Hesse, Hermann", 198.450, 99.225,50,Quedan 94 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781609421625/p/8934496,(0),"['Lits', ' Tapa Dura', 'Nuevo']",2023-10-21
The Laws of Medicine (libro en inglés) (),Siddhartha Mukherjee, 117.522, 58.761,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-laws-of-medicine-libro-en-ingles/9781442378124/p/51347928,(0),"['Simon & Schuster Audio', ' 2015', 'Nuevo']",2023-10-21
Emperor of all Maladies: A Biography of Cancer (libro en Inglés),Siddhartha Mukherjee, 182.231, 91.116,50,Quedan 48 unidades,https://www.buscalibre.com.co/libro-emperor-of-all-maladies-a-biography-of-cancer-libro-en-ingles/9780007250929/p/18766541,(0),"['Harper Collins Publ. Uk', ' 2011', ' Tapa Blanda', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 127.853, 63.927,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613820834/p/4717502,(0),"['simon & brown', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 126.036, 63.018,50,Quedan 54 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781936041541/p/4717618,(0),"['simon & brown', 'Nuevo']",2023-10-21
siddhartha,"Hesse, Hermann ; Rosner, Hilda", 146.794, 73.397,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha/9780812416640/p/4947061,(0),"['Perfection Learning', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 129.862, 64.931,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781605121659/p/2701725,(0),"['lightning source inc', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Hermann ; Watts, Alan", 106.521, 53.261,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781954525870/p/54514000,(0),"['Warbler Press Inc.', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha Wisehouse Classics Edition (libro en Inglés),"Hesse, Hermann ; Wyllie, David", 92.555, 46.278,50,Quedan 61 unidades,https://www.buscalibre.com.co/libro-siddhartha-wisehouse-classics-edition-libro-en-ingles/9789176375495/p/54691292,(0),"['Wisehouse Classics', ' Tapa Blanda', 'Nuevo']",2023-10-21
siddhartha,hermann hesse, 133.402, 66.701,50,Quedan 87 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781613821343/p/4717515,(0),"['simon & brown', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 167.015, 83.508,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788401422003/p/55599409,(0),"['Plaza & Janés', ' Barcelona', '', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha (libro en Inglés),Herman Hesse, 160.869, 80.434,50,Quedan 15 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781805330196/p/55203290,(0),"['Pushkin Press Aug 2023', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Modern Library) (libro en Inglés),"Hesse, Hermann ; Bernofsky, Susan ; Robbins, Tom", 117.522, 58.761,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-modern-library-libro-en-ingles/9780812974782/p/1925816,(0),"['Modern Library', ' 2007', ' Tapa Blanda', 'Nuevo']",2023-10-21
"The Beautiful and the Damned: Life in the new India [Paperback] [Jun 09, 2012] Siddhartha deb (libro en Inglés)",Deb Siddhartha, 141.320, 70.660,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-beautiful-and-the-damned-life-in-the-new-india-paperback-jun-09-2012-siddhartha-deb-libro-en-ingles/9780143418962/p/55675478,(0),"['Penguin India', ' Tapa Blanda', 'Usado']",2023-10-21
Siddhartha (Shambhala Pocket Library) (libro en Inglés),"Hesse, Hermann ; Chodzin Kohn, Sherab", 107.669, 53.835,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-shambhala-pocket-library-libro-en-ingles/9781611806441/p/51217935,(0),"['Shambhala', ' 2018', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha,"herman hesse, hesse", 177.118, 88.559,50,Quedan 59 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781604248579/p/25961486,(0),"['book jungle', ' 2007', 'Nuevo']",2023-10-21
The Song of the Cell: An Exploration of Medicine and the new Human (libro en Inglés),"Mukherjee, Siddhartha", 201.224, 100.612,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-song-of-the-cell-an-exploration-of-medicine-and-the-new-human-libro-en-ingles/9781982117351/p/54392768,(0),"['Scribner Book Company', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha,"hesse, hermann", 213.755, 106.877,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781934648025/p/24974110,(0),"['norilana books', ' 2007', 'Nuevo']",2023-10-21
Siddhartha Gautama The Life of The Buddha (Real Reads),R.N. Pillau, 99.156, 49.578,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-siddhartha-gautama-the-life-of-the-buddha-real-reads/9781906230616/p/49465425,(0),"['Real Reads', ' Tapa Blanda', 'Nuevo']",2023-10-21
"siddhartha,an indian tale",hermann hesse, 137.228, 68.614,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale/9781934648032/p/2682542,(0),"['lightning source inc', 'Nuevo']",2023-10-21
Tammy Tries Baseball (Libro en Inglés),"Brotherton, Dawn ; Vineet, Siddhartha", 137.228, 68.614,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-tammy-tries-baseball-libro-en-ingles/9781939696465/p/54854057,(0),"['Blue Dragon Publishing', ' LLC', ' Tapa Blanda', 'Nuevo']",2023-10-21
the point of return,"Deb, Siddhartha", 145.646, 72.823,50,Quedan 95 unidades,https://www.buscalibre.com.co/libro-the-point-of-return/9780060501532/p/4321480,(0),"['Ecco Press', ' 2004', ' Tapa Blanda', 'Nuevo']",2023-10-21
My Family Tree Has Roots (Libro en Inglés),"Mowrey, Tina ; Siddhartha, Vineet", 123.166, 61.583,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-my-family-tree-has-roots-libro-en-ingles/9781953021274/p/54827891,(0),"['Brandylane Publishers', ' Inc.', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Penguin Twentieth,"Hesse, Hermann ; Neugroschel, Joachim ; Freedman, Ralph", 107.956, 53.978,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-siddhartha-penguin-twentieth-century-classics-libro-en-ingles/9780141181233/p/4717162,(0),"['Penguin Group', ' 1999', ' Tapa Blanda', 'Nuevo']",2023-10-21
an outline of the republic,"Deb, Siddhartha", 140.098, 70.049,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-an-outline-of-the-republic/9780060501570/p/18693934,(0),"['Ecco Press', ' 2006', ' Tapa Blanda', 'Nuevo']",2023-10-21
siddhartha,"Smith C. Hyp Msc D., Jane Ma ; Hesse, Herman", 111.783, 55.891,50,Quedan 90 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781438247250/p/4698715,(0),"['Createspace Independent Publishing Platform', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 181.727, 90.864,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9789390736966/p/54073505,(0),"['True Sign Publishing House', ' 2021', ' Tapa blanda', 'Nuevo']",2023-10-21
"Siddhartha (World Classics, Unabridged) (Libro en Inglés)","Hesse, Hermann", 129.097, 64.548,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-world-classics-unabridged-libro-en-ingles/9789386101129/p/54687316,(0),"['Alpha Edition', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale,"hesse, hermann", 183.144, 91.572,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale/9780982499450/p/19658672,(0),"['ancient wisdom publications', ' 2010', 'Nuevo']",2023-10-21
siddhartha,"Hesse, Herman", 229.347, 114.674,50,Quedan 95 unidades,https://www.buscalibre.com.co/libro-siddhartha/9781605120652/p/2701724,(0),"['Akasha Classics', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha,Mr Herman Hesse, 140.767, 70.384,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781540409096/p/48392928,(0),"['Createspace', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 195.006, 97.503,50,Quedan 61 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781609422592/p/52667695,(0),"['Lits', ' 2011', ' Tapa dura', 'Nuevo']",2023-10-21
Siddhartha (libro en Catalán),Hermann Hesse, 144.948, 72.474,50,Quedan 6 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-catalan/9788417423131/p/52323669,(0),"['Labutxaca', ' 2020', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Hermann Hesse, 197.648, 98.824,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9789390960460/p/54101624,(0),"['Diamond Pocket Books', ' 2021', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (Literatura Unibertsala),Hermann Hesse, 154.923, 77.462,50,Quedan 6 unidades,https://www.buscalibre.com.co/libro-siddhartha-literatura-unibertsala/9788497469012/p/46990815,(0),"['Erein Argitaletxea', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 172.255, 86.128,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha/9788482888330/p/54659849,(0),"['La Voz De Galicia', '', ' Tapa Dura', 'Usado']",2023-10-21
"No Dogs, No Indians","Bose, Siddhartha", 168.126, 84.063,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-no-dogs-no-indians/9781908058485/p/49631758,(0),"['Penned in the Margins', ' Tapa Blanda', 'Nuevo']",2023-10-21
Divorced Indian Man: Divorce  After an Arranged Marriage in India (libro en Inglés),Siddhartha Dowera, 85.285, 42.643,50,Quedan 75 unidades,https://www.buscalibre.com.co/libro-divorced-indian-man-divorce-after-an-arranged-marriage-in-india-libro-en-ingles/9781658099820/p/52677685,(0),"['Independently Published', ' 2020', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha (Libro en Inglés),"Hesse, Hermann", 160.473, 80.236,50,Quedan 95 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9789355220585/p/54696544,(0),"['Classy Publishing', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Hermann", 184.388, 92.194,50,Quedan 66 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781774414491/p/52445444,(0),"['Binker North', ' 2020', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha: A Novel by Hermann Hesse (libro en Inglés),Hermann Hesse, 144.976, 72.488,50,Quedan 24 unidades,https://www.buscalibre.com.co/libro-siddhartha-a-novel-by-hermann-hesse-libro-en-ingles/9781577153757/p/55606543,(0),"['Wellfleet Press', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha (Arcturus Silhouette Classics) (libro en Inglés),"Hesse, Hermann ; Pearson, Will Aaltonen", 117.809, 58.905,50,Quedan 6 unidades,https://www.buscalibre.com.co/libro-siddhartha-arcturus-silhouette-classics-libro-en-ingles/9781788887946/p/53630066,(0),"['Arcturus Editions', ' 2019', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha Hermann Hesse (libro en Inglés),Hermann Hesse, 155.212, 77.606,50,Quedan 52 unidades,https://www.buscalibre.com.co/libro-siddhartha-hermann-hesse-libro-en-ingles/9781540855152/p/53888698,(0),"['Createspace', ' 2016', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha,Hermann Hesse, 200.171, 100.086,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha/9781515434559/p/50282110,(0),"['Wilder Publications', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha (libro en inglés),Hermann Hesse, 193.284, 96.642,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781613827680/p/51198912,(0),"['Simon & Brown', ' 2011', ' Tapa dura', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),"Hesse, Herman", 190.892, 95.446,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781989814390/p/52322685,(0),"['Public Park Publishing', ' 2020', ' Tapa Dura', 'Nuevo']",2023-10-21
The Abcs of sri Lanka (libro en Inglés),Siddhartha Padmanabha; Nimmi Ponnambalam, 128.714, 64.357,50,Quedan 7 unidades,https://www.buscalibre.com.co/libro-the-abcs-of-sri-lanka-libro-en-ingles/9781643439518/p/53639252,(0),"['Beavers Pond Pr', ' 2020', ' Tapa dura', 'Nuevo']",2023-10-21
Siddhartha ( Libro + Cartas ) Tarot,"Letizia, Bruno", 221.729, 110.864,50,Quedan 3 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-cartas-tarot/9788865277706/p/54409354,(0),"['Lo Scarabeo', 'Nuevo']",2023-10-21
siddhartha,"Hesse, Hermann ; Rosner, Hilda ; Hesse, Hermann", 210.790, 105.395,50,Quedan 71 unidades,https://www.buscalibre.com.co/libro-siddhartha/9780811202923/p/4701547,(0),"['New Directions Publishing Corporation', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale (libro en Inglés),"Hesse, Hermann", 181.929, 90.964,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale-libro-en-ingles/9781034670919/p/54074800,(0),"['Blurb', ' 2022', ' Tapa Blanda', 'Nuevo']",2023-10-21
SIDDHARTHA (En papel),HERMANN HESSE, 192.409, 96.204,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-en-papel/9788401498794/p/47433429,(0),"['PLAZA & JANES EDITORES', ' Tapa blanda', 'Usado']",2023-10-21
La Armonia de las Celulas. Una Exploracion de la Medicina y del Nuevo ser Humano,"Mukherjee, Siddhartha", 266.992, 133.496,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-la-armonia-de-las-celulas-una-exploracion-de-la-medicina-y-del-nuevo-ser-humano/9789877950649/p/55570151,(0),"['Debate', ' 2023', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Peter Owen Cased Classics) (libro en Inglés),"Hesse, Hermann ; Rosner, Hilda ; Iyer, Pico", 144.976, 72.488,50,Quedan 4 unidades,https://www.buscalibre.com.co/libro-siddhartha-peter-owen-cased-classics-libro-en-ingles/9780720620115/p/53507395,(0),"['Peter Owen Publishers', ' 2020', ' Tapa Dura', 'Nuevo']",2023-10-21
Even the Gods,"orie, mr lester siddhartha", 210.857, 105.429,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-even-the-gods/9781451520873/p/25942093,(0),"['createspace', ' 2010', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale (Fabulous Novellas),Herman Hesse, 137.611, 68.805,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale-fabulous-novellas/9780648182672/p/49791136,(0),"['Skomlin', ' Tapa blanda', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale (libro en Inglés),"Hesse, Hermann", 175.300, 87.650,50,Quedan 59 unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale-libro-en-ingles/9781781393925/p/54119946,(0),"['Benediction Classics', ' 2013', ' Tapa Dura', 'Nuevo']",2023-10-21
LebensFluss,Mathias Jung, 175.782, 87.891,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-lebensfluss-hermann-hesses-siddhartha/9783891891001/p/47071969,(0),"['Emu-Verlags-Gmbh', ' Tapa dura', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale (libro en Inglés),Hermann Hesse, 184.388, 92.194,50,Quedan 51 unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale-libro-en-ingles/9781774815595/p/53820094,(0),"['Spirit Seeker Books', ' 2021', ' Tapa blanda', 'Nuevo']",2023-10-21
B Ground West: ..a drift into kgp..,Siddhartha Bhasker, 131.775, 65.888,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-b-ground-west-a-drift-into-kgp/9781945621277/p/48614932,(0),"['Notion Press', ' Inc.', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha (Libro en Hindi),"Hesse, Hermann", 168.126, 84.063,50,Quedan 55 unidades,https://www.buscalibre.com.co/libro-siddhartha-libro-en-hindi/9789355213136/p/54696588,(0),"['Prabhat Prakashan', ' Tapa Blanda', 'Nuevo']",2023-10-21
Strangetop Hill (libro en Inglés),"Sosa, Toiya ; Siddhartha, Vineet K.", 184.196, 92.098,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-strangetop-hill-libro-en-ingles/9780578297873/p/54583056,(0),"['Toiya Sosa', ' Tapa Dura', 'Nuevo']",2023-10-21
"God's New World Global Citizens and One Nation: A Dream at Present, a Truth in Future","gauri, sidhartha", 123.166, 61.583,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-god-s-new-world-global-citizens-and-one-nation-a-dream-at-present-a-truth-in-future/9780595412563/p/19213357,(0),"['iuniverse', ' 2006', 'Nuevo']",2023-10-21
Siddhartha (libro en Inglés),Herman Hesse, 292.091, 146.045,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-libro-en-ingles/9781421851181/p/55145399,(0),"['1st World Publishing', ' Tapa Dura', 'Nuevo']",2023-10-21
8 Minute Decision: 8 minutes all it takes to change Your life: Volume 1 (Series 1),Mr Rastogi Siddhartha, 84.424, 42.212,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-8-minute-decision-8-minutes-all-it-takes-to-change-your-life-volume-1-series-1/9789385818660/p/49835765,(0),"['Online Gatha', ' Tapa blanda', 'Nuevo']",2023-10-21
The Song of the Cell,"Mukherjee, Siddhartha", 182.231, 91.116,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-the-song-of-the-cell/9781529111781/p/55607898,(0),"['Vintage', '', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale (Libro en Inglés),"Hesse, Hermann", 208.302, 104.151,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale-libro-en-ingles/9781936828296/p/54856757,(0),"['Nmd Books', ' Tapa Blanda', 'Nuevo']",2023-10-21
Summary and Analysis of The Gene: An Intimate History: Based on the Book by Siddhartha Mukherjee (Smart Summaries),Worth Books, 78.972, 39.486,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-summary-and-analysis-of-the-gene-an-intimate-history-based-on-the-book-by-siddhartha-mukherjee-smart-summaries/9781504046695/p/49948035,(0),"['Worth Books', ' Tapa blanda', 'Nuevo']",2023-10-21
The Song of the Cell: An Exploration of Medicine and the new Human (libro en Inglés),"Mukherjee, Siddhartha", 256.428, 128.214,50,Quedan 49 unidades,https://www.buscalibre.com.co/libro-the-song-of-the-cell-an-exploration-of-medicine-and-the-new-human-libro-en-ingles/9781847925978/p/54173083,(0),"['Bodley Head', '', ' 2022', ' Tapa Dura', 'Nuevo']",2023-10-21
Hindi Translation of Siddhartha: An Indian Tale (libro en Hindi),Hermann Hesse, 124.697, 62.348,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-hindi-translation-of-siddhartha-an-indian-tale-libro-en-hindi/9781484178423/p/54512495,(0),"['Createspace Independent Publishing Platform', ' Tapa Blanda', 'Nuevo']",2023-10-21
Oversight: A Collection of Short Stories (libro en Inglés),Siddhartha Elangovan, 153.299, 76.649,50,Quedan 53 unidades,https://www.buscalibre.com.co/libro-oversight-a-collection-of-short-stories-libro-en-ingles/9781645876496/p/52421585,(0),"['Notion Press', ' 2020', ' Tapa blanda', 'Nuevo']",2023-10-21
The Light at the end of the World (libro en Inglés),"Deb, Siddhartha", 174.917, 87.459,50,Quedan 5 unidades,https://www.buscalibre.com.co/libro-the-light-at-the-end-of-the-world-libro-en-ingles/9781641294669/p/54960001,(0),"['Soho Press', ' Tapa Dura', 'Nuevo']",2023-10-21
The Song of the Cell: An Exploration of Medicine and the new Human (libro en Inglés),Siddhartha Mukherjee, 146.220, 73.110,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-song-of-the-cell-an-exploration-of-medicine-and-the-new-human-libro-en-ingles/9781982117368/p/55006268,(0),"['Scribner', ' Tapa Blanda', 'Nuevo']",2023-10-21
The Case for Nature,"Shrikanth, Siddarth", 232.312, 116.156,50,Quedan 60 unidades,https://www.buscalibre.com.co/libro-the-case-for-nature/9780715654729/p/54904597,(0),"['Duckworth', '', ' Tapa Dura', 'Nuevo']",2023-10-21
"Primary Sources, Historical Collections: Prince Siddartha: The Japanese Buddha, with a Foreword by T. S. Wentworth","atkinson, john laidlaw", 300.594, 150.297,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-primary-sources-historical-collections-prince-siddartha-the-japanese-buddha-with-a-foreword-by-t-s-wentworth/9781241099978/p/22646741,(0),"['primary sources', ' historical collections', ' 2011', 'Nuevo']",2023-10-21
Greying Gracefully: Planning for Retirement and Old Age Happiness (Libro en Inglés),"Ganguli, Siddhartha", 160.569, 80.284,50,Quedan 92 unidades,https://www.buscalibre.com.co/libro-greying-gracefully-planning-for-retirement-and-old-age-happiness-libro-en-ingles/9788184246971/p/54703683,(0),"['Allied Publishers Pvt. Ltd.', ' Tapa Blanda', 'Nuevo']",2023-10-21
JUST PLAY! Life lessons from Traditional Indian Games (Libro en Inglés),"Sidhartha, Vinita", 174.822, 87.411,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-just-play-life-lessons-from-traditional-indian-games-libro-en-ingles/9789355205698/p/54696626,(0),"['Rupa Publ iCat Ions India', ' Tapa Blanda', 'Nuevo']",2023-10-21
Siddhartha Puzzle Pack (Print) (libro en inglés),Mary B. Collins, 229.156, 114.578,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-puzzle-pack-print-libro-en-ingles/9781602494435/p/50925904,(0),"['Teachers Pet Pub', ' 2008', ' Tapa blanda', 'Nuevo']",2023-10-21
The Beautiful and the Damned: A Portrait of the New India (libro en Inglés),"Deb, Siddhartha", 143.733, 71.866,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-the-beautiful-and-the-damned-a-portrait-of-the-new-india-libro-en-ingles/9780865478732/p/9075194,(0),"['Farrar', ' Straus and Giroux', ' Tapa Blanda', 'Nuevo']",2023-10-21
"prince siddhartha,the story of buddha",jonathan landaw, 184.196, 92.098,50,Quedan 2 unidades,https://www.buscalibre.com.co/libro-prince-siddhartha-the-story-of-buddha/9780861716531/p/4363729,(0),"['pgw', ' 2011', 'Nuevo']",2023-10-21
Siddhartha: An Indian Tale (libro en Inglés),Herman Hesse, 255.701, 127.851,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-an-indian-tale-libro-en-ingles/9781644394311/p/53840596,(0),"['Indoeuropeanpublishing.Com', ' 2021', ' Tapa dura', 'Nuevo']",2023-10-21
Sidartha. a Story of Mystery.,"Behenna, Kathleen", 313.607, 156.803,50,Quedan 65 unidades,https://www.buscalibre.com.co/libro-sidartha-a-story-of-mystery/9781241204822/p/23471312,(0),"['British Library', ' Historical Print Editions', ' 2011', ' Tapa Blanda', 'Nuevo']",2023-10-21
My Family Tree has Roots (libro en Inglés),"Mowrey, Tina ; Siddhartha, Vineet", 238.963, 119.481,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-my-family-tree-has-roots-libro-en-ingles/9781953021267/p/54229382,(0),"['Brandylane Publishers', ' Inc.', ' 2022', ' Tapa Dura', 'Nuevo']",2023-10-21
Siddhartha: Hermann Hesse (Macmillan Collector&#39; S Library) (libro en Inglés),Hermann Hesse, 167.922, 83.961,50,Quedan 43 unidades,https://www.buscalibre.com.co/libro-siddhartha-hermann-hesse-macmillan-collector-39-s-library-libro-en-ingles/9781529024043/p/53577015,(0),"['', ' 2020', ' 1ª edición', ' Tapa dura', 'Nuevo']",2023-10-21
The Gene: An Intimate History,Siddhartha Mukherjee, 272.537, 136.269,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-the-gene-an-intimate-history/9781508211389/p/48425583,(0),"['Simon & Schuster Audio', ' Audio CD', 'Nuevo']",2023-10-21
Siddhartha,Hesse Hermann, 234.227, 117.113,50,Queda 1 unidad,https://www.buscalibre.com.co/libro-siddhartha-an-indian-novel-libro-en-portugues/9781835661062/p/55715925,(0),"['Tranzlaty', ' Tapa Blanda', 'Nuevo']",2023-10-21
Compatibility of Chemicals against Diamondback Moth,Danagowdar Siddartha, 526.018, 263.009,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-compatibility-of-chemicals-against-diamondback-moth/9783659354809/p/46666788,(0),"['LAP Lambert Academic Publishing', ' Tapa blanda', 'Nuevo']",2023-10-21
An Inch Away from Death: A Novel Based on an Award Winning Essay,"rajagopal, siddarth", 179.796, 89.898,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-an-inch-away-from-death-a-novel-based-on-an-award-winning-essay/9781477139059/p/25576266,(0),"['xlibris corporation', ' 2012', 'Nuevo']",2023-10-21
Siddhartha (Mint Editions―Philosophical and Theological Work) (libro en Inglés),Hermann Hesse, 194.910, 97.455,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-siddhartha-mint-editions-philosophical-and-theological-work-libro-en-ingles/9781513136592/p/54307043,(0),"['Mint Editions', ' Tapa Blanda', 'Nuevo']",2023-10-21
Tackling Poverty Challenges,"sarkar, siddhartha", 617.584, 308.792,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-tackling-poverty-challenges/9783838383323/p/24965136,(0),"['lap lambert academic publishing', ' 2010', 'Nuevo']",2023-10-21
Women at Workplace: Work Family Interface (libro en inglés),Saxena Siddhartha; Dash Sasmita, 292.766, 146.383,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-women-at-workplace-work-family-interface-libro-en-ingles/9783659709715/p/46797723,(0),"['Lap Lambert Academic Publishing', ' 2015', ' Tapa blanda', 'Nuevo']",2023-10-21
Robotization and Economic Development (libro en Inglés),Siddhartha Mitra, 286.079, 143.040,50,Quedan 10 unidades,https://www.buscalibre.com.co/libro-robotization-and-economic-development-libro-en-ingles/9780367356095/p/54165779,(0),"['Routledge India', ' 2022', ' 1ª edición', ' Tapa blanda', 'Nuevo']",2023-10-21
Fiber Based Dispersion Compensation,"ramachandran, siddarth", 1.825.082, 912.541,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-fiber-based-dispersion-compensation/9780387403472/p/19192451,(0),"['springer', ' 2007', 'Nuevo']",2023-10-21
Why Poor People Stay Poor,"sarkar, siddhartha", 546.259, 273.129,50,Quedan 50 unidades,https://www.buscalibre.com.co/libro-why-poor-people-stay-poor/9783838381619/p/24964976,(0),"['lap lambert academic publishing', ' 2010', 'Nuevo']",2023-10-21
Conscious Management: Managing and Leading Happily at the Workplace and at Home,Siddhartha Ganguli, 168.221, 84.111,50,Quedan 100+  unidades,https://www.buscalibre.com.co/libro-conscious-management-managing-and-leading-happily-at-the-workplace-and-at-home/9788184246582/p/49845307,(0),"['Allied Publishers Pvt. Ltd.', ' Tapa blanda', 'Nuevo']",2023-10-21
