Countries,Type of Coffee,Crop Group,Crop Year,Total Production (x1000 60kg) bags,Domestic Consumption (x1000 60kg) bags,Gross Opening Stock (x1000 60kg) bags,Exports Crop Year in (x1000 60kg) bags
Kenya,Arabica,October Group,1991,1514,50,552,1399
Lao People's Democratic Republic,Robusta,October Group,1991,0,0,0,101
Liberia,Robusta,October Group,1991,3,3,0,0
Mexico,Arabica/Robusta,October Group,1991,4727,1200,748,3290
Nepal,Arabica,October Group,1991,0,0,0,0
Nicaragua,Arabica,October Group,1991,707,138,63,593
Nigeria,Robusta,October Group,1991,44,36,0,9
Panama,Arabica,October Group,1991,193,67,40,105
Sierra Leone,Robusta,October Group,1991,54,9,74,74
Sri Lanka,Robustica/Arabica,October Group,1991,82,67,6,20
Thailand,Robustica/Arabica,October Group,1991,1469,220,207,1183
Togo,Robusta,October Group,1991,433,1,39,316
Trinidad & Tobago,Robusta,October Group,1991,18,12,0,2
Uganda,Robustica/Arabica,October Group,1991,2088,75,2900,2013
Venezuela,Arabica,October Group,1991,941,815,350,113
Viet Nam,Robustica/Arabica,October Group,1991,1438,230,195,1318
Yemen,Arabica,October Group,1991,0,0,0,46
Angola,Robustica/Arabica,April Group,1992,78,35,136,68
Bolivia (Plurinational State of),Arabica,April Group,1992,120,28,33,101
Brazil,Arabica/Robusta,April Group,1992,34603,8900,22625,16752
Burundi,Arabica/Robusta,April Group,1992,620,2,53,672
Ecuador,Arabica/Robusta,April Group,1992,1185,350,552,1288
Indonesia,Robustica/Arabica,April Group,1992,5569,1319,2427,5115
Madagascar,Robusta,April Group,1992,1122,350,403,720
Malawi,Arabica,April Group,1992,137,2,19,129
Papua New Guinea,Arabica/Robusta,April Group,1992,900,3,95,943
Paraguay,Arabica,April Group,1992,54,15,115,49
Peru,Arabica,April Group,1992,1762,200,100,1162
Rwanda,Arabica,April Group,1992,639,1,10,642
Timor-Leste,Arabica,April Group,1992,0,0,0,0
Zimbabwe,Arabica,April Group,1992,78,8,98,115
Congo,Robusta,July Group,1992,3,3,11,1
Cuba,Arabica,July Group,1992,284,195,219,116
Dominican Republic,Arabica/Robusta,July Group,1992,638,320,300,422
Haiti,Arabica,July Group,1992,500,330,30,170
Philippines,Robustica/Arabica,July Group,1992,920,750,1554,22
Tanzania,Arabica/Robusta,July Group,1992,786,19,387,954
Zambia,Arabica,July Group,1992,29,1,1,29
Cameroon,Robustica/Arabica,October Group,1992,260,83,991,927
Central African Republic,Robusta,October Group,1992,134,28,64,156
Colombia,Arabica,October Group,1992,14947,1303,5914,14529
Costa Rica,Arabica,October Group,1992,2998,375,229,2662
Côte d'Ivoire,Robusta,October Group,1992,2246,50,3574,5115
Democratic Republic of Congo,Robustica/Arabica,October Group,1992,1180,200,21,995
El Salvador,Arabica,October Group,1992,3001,230,354,2991
Equatorial Guinea,Robusta,October Group,1992,2,0,2,2
Ethiopia,Arabica,October Group,1992,1825,1331,4652,1160
Gabon,Robusta,October Group,1992,3,1,1,3
Ghana,Robusta,October Group,1992,37,17,43,42
Guatemala,Arabica/Robusta,October Group,1992,4318,300,153,4018
Guinea,Robusta,October Group,1992,76,63,10,16
Guyana,Robusta,October Group,1992,0,0,0,0
Honduras,Arabica,October Group,1992,1918,240,318,1897
India,Robustica/Arabica,October Group,1992,2823,917,1316,1817
Jamaica,Arabica,October Group,1992,26,6,8,26
Kenya,Arabica,October Group,1992,1316,50,617,1412
Lao People's Democratic Republic,Robusta,October Group,1992,0,0,0,132
Liberia,Robusta,October Group,1992,3,3,0,0
Mexico,Arabica/Robusta,October Group,1992,3401,1300,985,2885
Nepal,Arabica,October Group,1992,0,0,0,0
Nicaragua,Arabica,October Group,1992,547,66,40,517
Nigeria,Robusta,October Group,1992,49,36,0,13
Panama,Arabica,October Group,1992,197,67,61,150
Sierra Leone,Robusta,October Group,1992,39,9,45,43
Sri Lanka,Robustica/Arabica,October Group,1992,53,28,1,7
Thailand,Robustica/Arabica,October Group,1992,1255,233,273,1042
Togo,Robusta,October Group,1992,86,1,154,214
Trinidad & Tobago,Robusta,October Group,1992,14,10,4,5
Uganda,Robustica/Arabica,October Group,1992,2185,75,2900,2010
Venezuela,Arabica,October Group,1992,1215,850,363,479
Viet Nam,Robustica/Arabica,October Group,1992,2340,250,85,2175
Yemen,Arabica,October Group,1992,0,0,0,47
Angola,Robustica/Arabica,April Group,1993,33,20,111,28
Bolivia (Plurinational State of),Arabica,April Group,1993,51,29,25,37
Brazil,Arabica/Robusta,April Group,1993,28167,9100,28921,18761
Burundi,Arabica/Robusta,April Group,1993,393,2,0,353
Ecuador,Arabica/Robusta,April Group,1993,2069,350,100,1589
Indonesia,Robustica/Arabica,April Group,1993,6743,1359,1562,5302
Madagascar,Robusta,April Group,1993,442,360,455,521
Malawi,Arabica,April Group,1993,62,2,25,75
Papua New Guinea,Arabica/Robusta,April Group,1993,1019,2,49,1028
Paraguay,Arabica,April Group,1993,67,20,105,52
Peru,Arabica,April Group,1993,665,200,500,845
Rwanda,Arabica,April Group,1993,444,1,6,447
Timor-Leste,Arabica,April Group,1993,0,0,0,0
Zimbabwe,Arabica,April Group,1993,12,8,53,57
Congo,Robusta,July Group,1993,3,3,11,0
Cuba,Arabica,July Group,1993,285,194,192,132
Dominican Republic,Arabica/Robusta,July Group,1993,604,320,196,287
Haiti,Arabica,July Group,1993,451,330,30,121
Philippines,Robustica/Arabica,July Group,1993,875,770,1102,99
Tanzania,Arabica/Robusta,July Group,1993,734,18,200,879
Zambia,Arabica,July Group,1993,27,1,0,26
Cameroon,Robustica/Arabica,October Group,1993,683,100,241,625
Central African Republic,Robusta,October Group,1993,166,25,14,146
Colombia,Arabica,October Group,1993,11422,1339,5029,12685
Costa Rica,Arabica,October Group,1993,2359,375,190,2074
Côte d'Ivoire,Robusta,October Group,1993,2293,50,655,2715
Democratic Republic of Congo,Robustica/Arabica,October Group,1993,980,200,6,705
El Salvador,Arabica,October Group,1993,2378,230,135,2083
Equatorial Guinea,Robusta,October Group,1993,0,0,2,1
Ethiopia,Arabica,October Group,1993,2967,1402,3986,1332
Gabon,Robusta,October Group,1993,3,1,0,1
Ghana,Robusta,October Group,1993,45,17,20,28
Guatemala,Arabica/Robusta,October Group,1993,3536,310,153,3139
Guinea,Robusta,October Group,1993,64,33,8,27
Guyana,Robusta,October Group,1993,0,0,0,0
Honduras,Arabica,October Group,1993,1829,230,100,1661
India,Robustica/Arabica,October Group,1993,3533,833,1405,2907
Jamaica,Arabica,October Group,1993,34,10,1,17
Kenya,Arabica,October Group,1993,1328,50,471,1460
Lao People's Democratic Republic,Robusta,October Group,1993,0,0,0,150
Liberia,Robusta,October Group,1993,5,5,0,0
Mexico,Arabica/Robusta,October Group,1993,5023,1070,201,3271
Nepal,Arabica,October Group,1993,0,0,0,0
Nicaragua,Arabica,October Group,1993,706,109,5,591
Nigeria,Robusta,October Group,1993,45,40,0,5
Panama,Arabica,October Group,1993,142,67,41,94
Sierra Leone,Robusta,October Group,1993,37,5,32,64
Sri Lanka,Robustica/Arabica,October Group,1993,54,20,19,48
Thailand,Robustica/Arabica,October Group,1993,1275,250,253,1105
Togo,Robusta,October Group,1993,195,1,25,194
Trinidad & Tobago,Robusta,October Group,1993,16,10,4,10
Uganda,Robustica/Arabica,October Group,1993,3142,75,3000,3067
Venezuela,Arabica,October Group,1993,1333,886,249,446
Viet Nam,Robustica/Arabica,October Group,1993,3020,267,0,2753
Yemen,Arabica,October Group,1993,0,0,0,82
Angola,Robustica/Arabica,April Group,1994,77,25,96,12
Bolivia (Plurinational State of),Arabica,April Group,1994,117,30,11,86
Brazil,Arabica/Robusta,April Group,1994,28192,9300,29227,15958
Burundi,Arabica/Robusta,April Group,1994,664,2,39,580
Ecuador,Arabica/Robusta,April Group,1994,2376,350,230,2156
Indonesia,Robustica/Arabica,April Group,1994,5368,1400,1644,4226
Madagascar,Robusta,April Group,1994,641,167,16,475
Malawi,Arabica,April Group,1994,84,2,10,87
Papua New Guinea,Arabica/Robusta,April Group,1994,1139,2,38,1135
Paraguay,Arabica,April Group,1994,25,20,100,38
Peru,Arabica,April Group,1994,1179,200,120,939
Rwanda,Arabica,April Group,1994,22,1,1,22
Timor-Leste,Arabica,April Group,1994,0,0,0,0
Zimbabwe,Arabica,April Group,1994,106,8,0,98
Congo,Robusta,July Group,1994,8,3,11,16
Cuba,Arabica,July Group,1994,284,194,151,125
Dominican Republic,Arabica/Robusta,July Group,1994,730,330,193,395
Haiti,Arabica,July Group,1994,450,330,30,123
Philippines,Robustica/Arabica,July Group,1994,877,790,1108,88
Tanzania,Arabica/Robusta,July Group,1994,679,18,39,614
Zambia,Arabica,July Group,1994,21,2,0,20
Cameroon,Robustica/Arabica,October Group,1994,406,100,198,384
Central African Republic,Robusta,October Group,1994,250,15,8,235
Colombia,Arabica,October Group,1994,12964,1375,2428,9342
Costa Rica,Arabica,October Group,1994,2482,375,100,1898
Côte d'Ivoire,Robusta,October Group,1994,3006,50,183,2253
Democratic Republic of Congo,Robustica/Arabica,October Group,1994,1298,200,81,1078
El Salvador,Arabica,October Group,1994,2293,230,200,1660
Equatorial Guinea,Robusta,October Group,1994,3,0,0,3
Ethiopia,Arabica,October Group,1994,2763,1476,4219,1321
Gabon,Robusta,October Group,1994,8,1,1,7
Ghana,Robusta,October Group,1994,57,28,21,35
Guatemala,Arabica/Robusta,October Group,1994,3787,310,240,3564
Guinea,Robusta,October Group,1994,198,50,12,148
Guyana,Robusta,October Group,1994,0,0,0,0
Honduras,Arabica,October Group,1994,2181,253,38,1637
India,Robustica/Arabica,October Group,1994,3002,835,1198,2070
Jamaica,Arabica,October Group,1994,45,15,9,24
Kenya,Arabica,October Group,1994,1663,50,289,1325
Lao People's Democratic Republic,Robusta,October Group,1994,0,0,0,162
Liberia,Robusta,October Group,1994,5,5,0,0
Mexico,Arabica/Robusta,October Group,1994,4159,1020,884,3258
Nepal,Arabica,October Group,1994,0,0,0,0
Nicaragua,Arabica,October Group,1994,683,90,11,564
Nigeria,Robusta,October Group,1994,52,40,0,12
Panama,Arabica,October Group,1994,248,77,22,144
Sierra Leone,Robusta,October Group,1994,73,5,0,68
Sri Lanka,Robustica/Arabica,October Group,1994,42,20,5,22
Thailand,Robustica/Arabica,October Group,1994,1399,283,173,1209
Togo,Robusta,October Group,1994,176,1,25,199
Trinidad & Tobago,Robusta,October Group,1994,18,14,0,4
Uganda,Robustica/Arabica,October Group,1994,2393,80,3000,2793
Venezuela,Arabica,October Group,1994,989,923,250,66
Viet Nam,Robustica/Arabica,October Group,1994,3632,267,0,3207
Yemen,Arabica,October Group,1994,0,0,0,81
Angola,Robustica/Arabica,April Group,1995,62,10,136,48
Bolivia (Plurinational State of),Arabica,April Group,1995,142,31,13,110
Brazil,Arabica/Robusta,April Group,1995,18060,10100,32161,13760
Burundi,Arabica/Robusta,April Group,1995,434,2,121,464
Ecuador,Arabica/Robusta,April Group,1995,1888,350,100,1438
Indonesia,Robustica/Arabica,April Group,1995,4573,1443,1386,4350
Madagascar,Robusta,April Group,1995,785,167,16,632
Malawi,Arabica,April Group,1995,91,2,5,81
Papua New Guinea,Arabica/Robusta,April Group,1995,1002,2,40,1000
