Countries,Type of Coffee,Crop Group,Crop Year,Total Production (x1000 60kg) bags,Domestic Consumption (x1000 60kg) bags,Gross Opening Stock (x1000 60kg) bags,Exports Crop Year in (x1000 60kg) bags
Guinea,Robusta,October Group,1998,421,50,6,355
Guyana,Robusta,October Group,1998,6,5,0,1
Honduras,Arabica,October Group,1998,2195,138,138,2086
India,Robustica/Arabica,October Group,1998,4417,900,605,3427
Jamaica,Arabica,October Group,1998,29,15,30,21
Kenya,Arabica,October Group,1998,1173,50,129,1096
Lao People's Democratic Republic,Robusta,October Group,1998,171,0,0,171
Liberia,Robusta,October Group,1998,18,5,0,13
Mexico,Arabica/Robusta,October Group,1998,4801,1108,195,4136
Nepal,Arabica,October Group,1998,0,0,0,0
Nicaragua,Arabica,October Group,1998,1073,127,17,955
Nigeria,Robusta,October Group,1998,53,40,0,13
Panama,Arabica,October Group,1998,192,67,42,147
Sierra Leone,Robusta,October Group,1998,27,5,0,22
Sri Lanka,Robustica/Arabica,October Group,1998,46,30,19,27
Thailand,Robustica/Arabica,October Group,1998,916,433,172,417
Togo,Robusta,October Group,1998,321,2,43,310
Trinidad & Tobago,Robusta,October Group,1998,17,14,1,4
Uganda,Robustica/Arabica,October Group,1998,3386,116,878,3648
Venezuela,Arabica,October Group,1998,1597,1090,145,582
Viet Nam,Robustica/Arabica,October Group,1998,7052,332,250,6687
Yemen,Arabica,October Group,1998,69,0,0,69
Angola,Robustica/Arabica,April Group,1999,55,20,110,40
Bolivia (Plurinational State of),Arabica,April Group,1999,158,34,5,123
Brazil,Arabica/Robusta,April Group,1999,47578,12700,30070,21186
Burundi,Arabica/Robusta,April Group,1999,351,2,102,438
Ecuador,Arabica/Robusta,April Group,1999,1198,230,100,983
Indonesia,Robustica/Arabica,April Group,1999,6557,1626,708,4846
Madagascar,Robusta,April Group,1999,427,56,42,404
Malawi,Arabica,April Group,1999,59,1,3,52
Papua New Guinea,Arabica/Robusta,April Group,1999,1387,2,48,1328
Paraguay,Arabica,April Group,1999,19,20,36,2
Peru,Arabica,April Group,1999,2744,200,88,2474
Rwanda,Arabica,April Group,1999,307,2,2,307
Timor-Leste,Arabica,April Group,1999,0,0,0,0
Zimbabwe,Arabica,April Group,1999,125,4,10,121
Congo,Robusta,July Group,1999,3,3,0,0
Cuba,Arabica,July Group,1999,328,200,116,118
Dominican Republic,Arabica/Robusta,July Group,1999,607,325,254,199
Haiti,Arabica,July Group,1999,399,340,19,62
Philippines,Robustica/Arabica,July Group,1999,622,862,1057,4
Tanzania,Arabica/Robusta,July Group,1999,842,14,13,759
Zambia,Arabica,July Group,1999,59,1,0,58
Cameroon,Robustica/Arabica,October Group,1999,1370,100,120,1272
Central African Republic,Robusta,October Group,1999,241,21,5,188
Colombia,Arabica,October Group,1999,9512,1297,2875,9036
Costa Rica,Arabica,October Group,1999,2485,375,141,1984
Côte d'Ivoire,Robusta,October Group,1999,6320,50,115,5834
Democratic Republic of Congo,Robustica/Arabica,October Group,1999,477,200,94,353
El Salvador,Arabica,October Group,1999,2598,153,279,2490
Equatorial Guinea,Robusta,October Group,1999,0,0,0,0
Ethiopia,Arabica,October Group,1999,3784,1912,2533,2005
Gabon,Robusta,October Group,1999,2,1,1,0
Ghana,Robusta,October Group,1999,89,1,10,80
Guatemala,Arabica/Robusta,October Group,1999,5120,300,161,4901
Guinea,Robusta,October Group,1999,364,50,22,280
Guyana,Robusta,October Group,1999,5,4,0,1
Honduras,Arabica,October Group,1999,2985,168,109,2857
India,Robustica/Arabica,October Group,1999,4867,925,695,4297
Jamaica,Arabica,October Group,1999,38,11,23,30
Kenya,Arabica,October Group,1999,1502,50,156,1196
Lao People's Democratic Republic,Robusta,October Group,1999,239,0,0,239
Liberia,Robusta,October Group,1999,12,5,0,7
Mexico,Arabica/Robusta,October Group,1999,6219,1150,10,5164
Nepal,Arabica,October Group,1999,0,0,0,0
Nicaragua,Arabica,October Group,1999,1554,130,8,1324
Nigeria,Robusta,October Group,1999,45,40,0,5
Panama,Arabica,October Group,1999,166,67,20,78
Sierra Leone,Robusta,October Group,1999,59,5,0,47
Sri Lanka,Robustica/Arabica,October Group,1999,32,30,8,3
Thailand,Robustica/Arabica,October Group,1999,1273,433,238,962
Togo,Robusta,October Group,1999,263,2,52,279
Trinidad & Tobago,Robusta,October Group,1999,17,14,0,3
Uganda,Robustica/Arabica,October Group,1999,2862,119,500,2917
Venezuela,Arabica,October Group,1999,1367,1136,70,113
Viet Nam,Robustica/Arabica,October Group,1999,11631,350,283,10897
Yemen,Arabica,October Group,1999,61,0,0,61
Angola,Robustica/Arabica,April Group,2000,50,20,105,20
Bolivia (Plurinational State of),Arabica,April Group,2000,148,35,6,113
Brazil,Arabica/Robusta,April Group,2000,31310,13200,43762,18577
Burundi,Arabica/Robusta,April Group,2000,487,2,12,407
Ecuador,Arabica/Robusta,April Group,2000,854,200,85,702
Indonesia,Robustica/Arabica,April Group,2000,6987,1676,793,5614
Madagascar,Robusta,April Group,2000,362,89,9,201
Malawi,Arabica,April Group,2000,63,1,9,68
Papua New Guinea,Arabica/Robusta,April Group,2000,1041,2,105,1050
Paraguay,Arabica,April Group,2000,22,20,33,5
Peru,Arabica,April Group,2000,2676,200,157,2419
Rwanda,Arabica,April Group,2000,273,2,1,272
Timor-Leste,Arabica,April Group,2000,7,0,0,7
Zimbabwe,Arabica,April Group,2000,109,4,10,105
Congo,Robusta,July Group,2000,3,3,0,0
Cuba,Arabica,July Group,2000,312,213,126,96
Dominican Republic,Arabica/Robusta,July Group,2000,467,325,338,124
Haiti,Arabica,July Group,2000,420,340,16,83
Philippines,Robustica/Arabica,July Group,2000,341,820,930,3
Tanzania,Arabica/Robusta,July Group,2000,809,15,82,816
Zambia,Arabica,July Group,2000,93,1,0,93
Cameroon,Robustica/Arabica,October Group,2000,1113,75,118,1145
Central African Republic,Robusta,October Group,2000,113,3,37,104
Colombia,Arabica,October Group,2000,10519,1282,2055,9437
Costa Rica,Arabica,October Group,2000,2419,375,267,2111
Côte d'Ivoire,Robusta,October Group,2000,4846,317,552,4270
Democratic Republic of Congo,Robustica/Arabica,October Group,2000,363,200,18,151
El Salvador,Arabica,October Group,2000,1704,144,233,1715
Equatorial Guinea,Robusta,October Group,2000,0,0,0,0
Ethiopia,Arabica,October Group,2000,3115,2014,2400,1418
Gabon,Robusta,October Group,2000,0,0,2,2
Ghana,Robusta,October Group,2000,76,1,18,72
Guatemala,Arabica/Robusta,October Group,2000,4940,300,80,4414
Guinea,Robusta,October Group,2000,400,50,56,350
Guyana,Robusta,October Group,2000,3,2,0,1
Honduras,Arabica,October Group,2000,2667,230,69,2470
India,Robustica/Arabica,October Group,2000,5020,975,340,3705
Jamaica,Arabica,October Group,2000,37,12,21,29
Kenya,Arabica,October Group,2000,1002,50,412,1233
Lao People's Democratic Republic,Robusta,October Group,2000,212,0,0,212
Liberia,Robusta,October Group,2000,12,5,0,7
Mexico,Arabica/Robusta,October Group,2000,4815,1305,193,3637
Nepal,Arabica,October Group,2000,0,0,0,0
Nicaragua,Arabica,October Group,2000,1572,175,108,1445
Nigeria,Robusta,October Group,2000,49,40,0,9
Panama,Arabica,October Group,2000,170,67,42,70
Sierra Leone,Robusta,October Group,2000,49,5,7,34
Sri Lanka,Robustica/Arabica,October Group,2000,33,30,7,4
Thailand,Robustica/Arabica,October Group,2000,1692,500,116,1184
Togo,Robusta,October Group,2000,197,2,34,195
Trinidad & Tobago,Robusta,October Group,2000,16,14,0,2
Uganda,Robustica/Arabica,October Group,2000,3401,142,326,3075
Venezuela,Arabica,October Group,2000,1450,1184,188,26
Viet Nam,Robustica/Arabica,October Group,2000,14841,402,667,14606
Yemen,Arabica,October Group,2000,64,0,0,64
Angola,Robustica/Arabica,April Group,2001,21,20,115,11
Bolivia (Plurinational State of),Arabica,April Group,2001,94,37,6,64
Brazil,Arabica/Robusta,April Group,2001,31365,13590,43295,23767
Burundi,Arabica/Robusta,April Group,2001,144,2,91,217
Ecuador,Arabica/Robusta,April Group,2001,793,200,55,713
Indonesia,Robustica/Arabica,April Group,2001,6833,2000,490,5173
Madagascar,Robusta,April Group,2001,147,128,84,74
Malawi,Arabica,April Group,2001,60,1,3,59
Papua New Guinea,Arabica/Robusta,April Group,2001,1063,2,94,1073
Paraguay,Arabica,April Group,2001,22,20,30,4
Peru,Arabica,April Group,2001,2829,200,214,2638
Rwanda,Arabica,April Group,2001,296,2,0,294
Timor-Leste,Arabica,April Group,2001,33,0,0,33
Zimbabwe,Arabica,April Group,2001,121,4,10,117
Congo,Robusta,July Group,2001,3,3,0,0
Cuba,Arabica,July Group,2001,285,220,130,92
Dominican Republic,Arabica/Robusta,July Group,2001,387,340,355,90
Haiti,Arabica,July Group,2001,403,340,13,63
Philippines,Robustica/Arabica,July Group,2001,263,821,882,6
Tanzania,Arabica/Robusta,July Group,2001,624,15,60,657
Zambia,Arabica,July Group,2001,100,1,0,99
Cameroon,Robustica/Arabica,October Group,2001,686,69,11,617
Central African Republic,Robusta,October Group,2001,68,3,43,100
Colombia,Arabica,October Group,2001,11950,1267,1855,10625
Costa Rica,Arabica,October Group,2001,2247,375,200,1881
Côte d'Ivoire,Robusta,October Group,2001,3596,317,811,3388
Democratic Republic of Congo,Robustica/Arabica,October Group,2001,423,200,29,165
El Salvador,Arabica,October Group,2001,1694,153,126,1473
Equatorial Guinea,Robusta,October Group,2001,0,0,0,0
Ethiopia,Arabica,October Group,2001,4044,2121,2083,1939
Gabon,Robusta,October Group,2001,1,0,0,1
Ghana,Robusta,October Group,2001,7,1,21,12
Guatemala,Arabica/Robusta,October Group,2001,3669,300,306,3330
Guinea,Robusta,October Group,2001,236,50,56,183
Guyana,Robusta,October Group,2001,5,4,0,1
Honduras,Arabica,October Group,2001,3036,200,36,2617
India,Robustica/Arabica,October Group,2001,4810,1067,680,3441
Jamaica,Arabica,October Group,2001,31,10,17,28
Kenya,Arabica,October Group,2001,991,50,130,793
Lao People's Democratic Republic,Robusta,October Group,2001,258,0,0,258
Liberia,Robusta,October Group,2001,12,5,0,7
Mexico,Arabica/Robusta,October Group,2001,4438,1500,354,2893
Nepal,Arabica,October Group,2001,0,0,0,0
Nicaragua,Arabica,October Group,2001,1079,177,82,920
Nigeria,Robusta,October Group,2001,44,40,0,4
Panama,Arabica,October Group,2001,160,67,75,78
Sierra Leone,Robusta,October Group,2001,79,5,17,74
Sri Lanka,Robustica/Arabica,October Group,2001,32,30,6,3
Thailand,Robustica/Arabica,October Group,2001,715,500,124,260
Togo,Robusta,October Group,2001,112,2,34,114
Trinidad & Tobago,Robusta,October Group,2001,16,14,0,2
Uganda,Robustica/Arabica,October Group,2001,3158,141,510,3153
Venezuela,Arabica,October Group,2001,1265,1234,428,131
Viet Nam,Robustica/Arabica,October Group,2001,13093,461,500,11966
Yemen,Arabica,October Group,2001,62,0,0,62
Angola,Robustica/Arabica,April Group,2002,57,20,105,12
Bolivia (Plurinational State of),Arabica,April Group,2002,127,38,0,89
Brazil,Arabica/Robusta,April Group,2002,48352,13750,37303,29613
Burundi,Arabica/Robusta,April Group,2002,454,2,16,431
Ecuador,Arabica/Robusta,April Group,2002,582,150,35,585
Indonesia,Robustica/Arabica,April Group,2002,6731,1779,150,4280
Madagascar,Robusta,April Group,2002,445,217,29,194
Malawi,Arabica,April Group,2002,42,1,3,43
Papua New Guinea,Arabica/Robusta,April Group,2002,1085,2,81,1076
Paraguay,Arabica,April Group,2002,36,20,28,20
Peru,Arabica,April Group,2002,3000,220,205,2838
Rwanda,Arabica,April Group,2002,320,0,0,308
Timor-Leste,Arabica,April Group,2002,37,0,0,37
Zimbabwe,Arabica,April Group,2002,110,4,10,106
Congo,Robusta,July Group,2002,3,3,0,0
Cuba,Arabica,July Group,2002,239,224,103,58
Dominican Republic,Arabica/Robusta,July Group,2002,455,340,312,151
Haiti,Arabica,July Group,2002,374,340,13,37
Philippines,Robustica/Arabica,July Group,2002,255,829,814,8
Tanzania,Arabica/Robusta,July Group,2002,824,15,12,820
Zambia,Arabica,July Group,2002,119,1,0,118
Cameroon,Robustica/Arabica,October Group,2002,801,69,11,732
Central African Republic,Robusta,October Group,2002,92,4,8,38
Colombia,Arabica,October Group,2002,11712,1252,1913,10478
Costa Rica,Arabica,October Group,2002,2043,375,191,1676
Côte d'Ivoire,Robusta,October Group,2002,3010,317,702,2608
Democratic Republic of Congo,Robustica/Arabica,October Group,2002,338,200,88,195
El Salvador,Arabica,October Group,2002,1361,153,186,1320
Equatorial Guinea,Robusta,October Group,2002,0,0,0,0
Ethiopia,Arabica,October Group,2002,4094,2234,2067,2277
Gabon,Robusta,October Group,2002,1,0,0,1
Ghana,Robusta,October Group,2002,34,1,15,38
Guatemala,Arabica/Robusta,October Group,2002,4070,300,345,3965
Guinea,Robusta,October Group,2002,328,50,59,278
Guyana,Robusta,October Group,2002,5,4,0,1
Honduras,Arabica,October Group,2002,2496,200,255,2439
India,Robustica/Arabica,October Group,2002,4588,1133,1017,3567
Jamaica,Arabica,October Group,2002,37,9,9,25
Kenya,Arabica,October Group,2002,945,50,278,878
Lao People's Democratic Republic,Robusta,October Group,2002,402,158,0,244
Liberia,Robusta,October Group,2002,12,5,0,7
Mexico,Arabica/Robusta,October Group,2002,4351,1500,399,2562
Nepal,Arabica,October Group,2002,0,0,0,3
Nicaragua,Arabica,October Group,2002,1170,180,97,978
Nigeria,Robusta,October Group,2002,50,40,0,10
Panama,Arabica,October Group,2002,140,67,90,84
Sierra Leone,Robusta,October Group,2002,42,5,17,37
Sri Lanka,Robustica/Arabica,October Group,2002,34,30,5,5
Thailand,Robustica/Arabica,October Group,2002,732,500,79,199
Togo,Robusta,October Group,2002,68,2,31,78
Trinidad & Tobago,Robusta,October Group,2002,17,14,0,3
Uganda,Robustica/Arabica,October Group,2002,2890,140,374,2810
Venezuela,Arabica,October Group,2002,1484,1286,328,297
Viet Nam,Robustica/Arabica,October Group,2002,11574,519,1167,11555
Yemen,Arabica,October Group,2002,57,0,0,57
Angola,Robustica/Arabica,April Group,2003,38,15,130,13
Bolivia (Plurinational State of),Arabica,April Group,2003,103,39,0,65
Brazil,Arabica/Robusta,April Group,2003,28873,14200,42292,24909
Burundi,Arabica/Robusta,April Group,2003,338,2,37,324
Ecuador,Arabica/Robusta,April Group,2003,641,150,32,628
Indonesia,Robustica/Arabica,April Group,2003,6404,1833,822,4821
Madagascar,Robusta,April Group,2003,435,333,63,122
Malawi,Arabica,April Group,2003,48,1,1,47
Papua New Guinea,Arabica/Robusta,April Group,2003,1155,2,88,1152
Paraguay,Arabica,April Group,2003,47,20,24,33
Peru,Arabica,April Group,2003,2686,220,147,2480
Rwanda,Arabica,April Group,2003,266,0,11,267
Timor-Leste,Arabica,April Group,2003,42,0,0,42
Zimbabwe,Arabica,April Group,2003,92,4,10,88
Congo,Robusta,July Group,2003,3,3,0,0
Cuba,Arabica,July Group,2003,224,224,60,30
Dominican Republic,Arabica/Robusta,July Group,2003,351,340,276,78
Haiti,Arabica,July Group,2003,374,340,10,34
Philippines,Robustica/Arabica,July Group,2003,293,917,698,18
Tanzania,Arabica/Robusta,July Group,2003,612,27,1,581
Zambia,Arabica,July Group,2003,100,1,0,100
Cameroon,Robustica/Arabica,October Group,2003,900,69,11,831
Central African Republic,Robusta,October Group,2003,43,4,58,68
Colombia,Arabica,October Group,2003,11053,1237,1895,10154
Costa Rica,Arabica,October Group,2003,1886,375,183,1505
Côte d'Ivoire,Robusta,October Group,2003,2981,317,787,2604
Democratic Republic of Congo,Robustica/Arabica,October Group,2003,451,200,31,273
El Salvador,Arabica,October Group,2003,1380,153,151,1347
Equatorial Guinea,Robusta,October Group,2003,0,0,0,0
Ethiopia,Arabica,October Group,2003,4394,2353,1650,2374
Gabon,Robusta,October Group,2003,0,0,0,0
Ghana,Robusta,October Group,2003,18,1,10,19
Guatemala,Arabica/Robusta,October Group,2003,3610,300,150,3306
Guinea,Robusta,October Group,2003,366,50,59,346
Guyana,Robusta,October Group,2003,5,5,0,1
Honduras,Arabica,October Group,2003,2968,200,113,2794
India,Robustica/Arabica,October Group,2003,4708,1167,993,3826
Jamaica,Arabica,October Group,2003,37,9,13,27
Kenya,Arabica,October Group,2003,673,50,295,820
Lao People's Democratic Republic,Robusta,October Group,2003,361,103,0,258
Liberia,Robusta,October Group,2003,5,5,0,0
Mexico,Arabica/Robusta,October Group,2003,4201,1500,688,2423
Nepal,Arabica,October Group,2003,1,0,0,3
Nicaragua,Arabica,October Group,2003,1509,182,134,1270
Nigeria,Robusta,October Group,2003,46,40,0,6
Panama,Arabica,October Group,2003,172,67,79,105
Sierra Leone,Robusta,October Group,2003,36,5,17,31
Sri Lanka,Robustica/Arabica,October Group,2003,37,30,4,8
Thailand,Robustica/Arabica,October Group,2003,827,500,112,349
Togo,Robusta,October Group,2003,144,2,19,152
Trinidad & Tobago,Robusta,October Group,2003,16,14,0,2
Uganda,Robustica/Arabica,October Group,2003,2599,131,314,2523
Venezuela,Arabica,October Group,2003,1421,1341,228,180
Viet Nam,Robustica/Arabica,October Group,2003,15337,607,667,14497
Yemen,Arabica,October Group,2003,193,146,0,47
Angola,Robustica/Arabica,April Group,2004,15,15,140,5
Bolivia (Plurinational State of),Arabica,April Group,2004,155,45,0,110
Brazil,Arabica/Robusta,April Group,2004,39281,14946,32056,27468
Burundi,Arabica/Robusta,April Group,2004,437,2,49,477
Ecuador,Arabica/Robusta,April Group,2004,780,150,20,761
Indonesia,Robustica/Arabica,April Group,2004,7536,2000,572,5822
Madagascar,Robusta,April Group,2004,522,467,42,85
Malawi,Arabica,April Group,2004,21,1,1,20
Papua New Guinea,Arabica/Robusta,April Group,2004,998,2,89,1011
Paraguay,Arabica,April Group,2004,38,20,18,22
Peru,Arabica,April Group,2004,3425,220,133,3305
Rwanda,Arabica,April Group,2004,450,1,9,458
Timor-Leste,Arabica,April Group,2004,17,0,0,17
Zimbabwe,Arabica,April Group,2004,120,4,10,116
Congo,Robusta,July Group,2004,3,3,0,0
Cuba,Arabica,July Group,2004,180,224,30,33
Dominican Republic,Arabica/Robusta,July Group,2004,491,378,209,41
Haiti,Arabica,July Group,2004,365,340,10,27
Philippines,Robustica/Arabica,July Group,2004,355,1020,554,40
Tanzania,Arabica/Robusta,July Group,2004,763,37,4,726
Zambia,Arabica,July Group,2004,110,1,0,110
Cameroon,Robustica/Arabica,October Group,2004,727,69,11,658
Central African Republic,Robusta,October Group,2004,29,3,29,42
Colombia,Arabica,October Group,2004,11429,1223,1556,11005
Costa Rica,Arabica,October Group,2004,1876,375,189,1510
Côte d'Ivoire,Robusta,October Group,2004,2136,317,847,1925
Democratic Republic of Congo,Robustica/Arabica,October Group,2004,360,200,9,169
El Salvador,Arabica,October Group,2004,1197,173,128,1312
Equatorial Guinea,Robusta,October Group,2004,0,0,0,0
Ethiopia,Arabica,October Group,2004,5213,2478,1317,2620
Gabon,Robusta,October Group,2004,0,0,0,0
Ghana,Robusta,October Group,2004,18,2,8,20
Guatemala,Arabica/Robusta,October Group,2004,3703,300,153,3457
Guinea,Robusta,October Group,2004,316,50,29,266
Guyana,Robusta,October Group,2004,6,6,0,1
Honduras,Arabica,October Group,2004,2575,230,87,2395
India,Robustica/Arabica,October Group,2004,4591,1202,856,2790
Jamaica,Arabica,October Group,2004,21,9,14,21
Kenya,Arabica,October Group,2004,736,50,98,659
Lao People's Democratic Republic,Robusta,October Group,2004,379,135,0,244
Liberia,Robusta,October Group,2004,6,5,0,1
Mexico,Arabica/Robusta,October Group,2004,3867,1500,966,1907
Nepal,Arabica,October Group,2004,1,0,0,2
Nicaragua,Arabica,October Group,2004,1068,184,219,1015
Nigeria,Robusta,October Group,2004,45,40,0,5
Panama,Arabica,October Group,2004,90,67,79,81
Sierra Leone,Robusta,October Group,2004,15,5,17,17
Sri Lanka,Robustica/Arabica,October Group,2004,32,30,3,3
Thailand,Robustica/Arabica,October Group,2004,884,500,90,342
Togo,Robusta,October Group,2004,166,2,9,150
Trinidad & Tobago,Robusta,October Group,2004,15,14,0,1
Uganda,Robustica/Arabica,October Group,2004,2613,140,258,2489
Venezuela,Arabica,October Group,2004,1327,1397,128,29
Viet Nam,Robustica/Arabica,October Group,2004,14370,696,900,13994
Yemen,Arabica,October Group,2004,206,136,0,70
Angola,Robustica/Arabica,April Group,2005,25,15,135,5
Bolivia (Plurinational State of),Arabica,April Group,2005,110,41,0,69
Brazil,Arabica/Robusta,April Group,2005,32933,15538,28923,25078
Burundi,Arabica/Robusta,April Group,2005,103,2,7,232
Ecuador,Arabica/Robusta,April Group,2005,935,150,47,1001
Indonesia,Robustica/Arabica,April Group,2005,9159,2500,286,6795
Madagascar,Robusta,April Group,2005,599,467,12,123
Malawi,Arabica,April Group,2005,24,1,1,21
Papua New Guinea,Arabica/Robusta,April Group,2005,1268,2,73,1253
Paraguay,Arabica,April Group,2005,44,20,14,22
Peru,Arabica,April Group,2005,2489,220,33,2272
Rwanda,Arabica,April Group,2005,337,1,0,276
Timor-Leste,Arabica,April Group,2005,24,0,0,24
Zimbabwe,Arabica,April Group,2005,66,4,10,62
Congo,Robusta,July Group,2005,3,3,0,0
Cuba,Arabica,July Group,2005,100,224,15,15
Dominican Republic,Arabica/Robusta,July Group,2005,310,378,281,93
Haiti,Arabica,July Group,2005,356,340,8,24
Philippines,Robustica/Arabica,July Group,2005,432,1040,314,31
Tanzania,Arabica/Robusta,July Group,2005,804,47,4,754
Zambia,Arabica,July Group,2005,103,1,0,102
Cameroon,Robustica/Arabica,October Group,2005,870,69,11,779
Central African Republic,Robusta,October Group,2005,23,3,13,20
Colombia,Arabica,October Group,2005,11952,1209,1216,10751
Costa Rica,Arabica,October Group,2005,1653,375,180,1318
Côte d'Ivoire,Robusta,October Group,2005,2099,317,741,1808
Democratic Republic of Congo,Robustica/Arabica,October Group,2005,336,200,0,136
El Salvador,Arabica,October Group,2005,1319,224,129,1269
Equatorial Guinea,Robusta,October Group,2005,0,0,0,0
Ethiopia,Arabica,October Group,2005,4779,2609,1432,2702
Gabon,Robusta,October Group,2005,1,0,0,0
Ghana,Robusta,October Group,2005,12,2,5,11
Guatemala,Arabica/Robusta,October Group,2005,3676,300,100,3348
Guinea,Robusta,October Group,2005,525,50,29,496
Guyana,Robusta,October Group,2005,7,6,0,1
Honduras,Arabica,October Group,2005,3204,230,37,2929
India,Robustica/Arabica,October Group,2005,4566,1238,1279,3410
Jamaica,Arabica,October Group,2005,34,9,6,21
Kenya,Arabica,October Group,2005,660,50,125,620
Lao People's Democratic Republic,Robusta,October Group,2005,280,140,0,140
Liberia,Robusta,October Group,2005,5,5,0,0
Mexico,Arabica/Robusta,October Group,2005,4225,1725,1426,2508
Nepal,Arabica,October Group,2005,1,0,0,3
Nicaragua,Arabica,October Group,2005,1432,187,144,1427
Nigeria,Robusta,October Group,2005,69,40,0,29
Panama,Arabica,October Group,2005,176,67,21,109
Sierra Leone,Robusta,October Group,2005,60,5,10,55
Sri Lanka,Robustica/Arabica,October Group,2005,35,30,2,6
Thailand,Robustica/Arabica,October Group,2005,1064,500,132,623
Togo,Robusta,October Group,2005,140,2,23,126
Trinidad & Tobago,Robusta,October Group,2005,15,14,0,1
Uganda,Robustica/Arabica,October Group,2005,2175,150,242,2002
Venezuela,Arabica,October Group,2005,1506,1457,28,48
Viet Nam,Robustica/Arabica,October Group,2005,13842,800,580,13122
Yemen,Arabica,October Group,2005,203,138,0,65
Angola,Robustica/Arabica,April Group,2006,35,30,140,5
Bolivia (Plurinational State of),Arabica,April Group,2006,146,42,0,104
Brazil,Arabica/Robusta,April Group,2006,48432,16331,14855,28486
Burundi,Arabica/Robusta,April Group,2006,499,2,17,373
Ecuador,Arabica/Robusta,April Group,2006,1035,150,16,1025
Indonesia,Robustica/Arabica,April Group,2006,7483,2833,150,4770
Madagascar,Robusta,April Group,2006,587,467,20,131
Malawi,Arabica,April Group,2006,17,1,3,17
Papua New Guinea,Arabica/Robusta,April Group,2006,807,2,86,811
Paraguay,Arabica,April Group,2006,35,20,16,25
Peru,Arabica,April Group,2006,4319,220,30,4113
Rwanda,Arabica,April Group,2006,351,1,60,393
Timor-Leste,Arabica,April Group,2006,46,0,0,46
Zimbabwe,Arabica,April Group,2006,45,4,10,46
Congo,Robusta,July Group,2006,3,3,0,0
Cuba,Arabica,July Group,2006,105,224,18,18
Dominican Republic,Arabica/Robusta,July Group,2006,387,378,120,84
Haiti,Arabica,July Group,2006,362,340,0,22
Philippines,Robustica/Arabica,July Group,2006,441,1060,150,42
Tanzania,Arabica/Robusta,July Group,2006,822,47,7,764
Zambia,Arabica,July Group,2006,56,1,0,55
Cameroon,Robustica/Arabica,October Group,2006,818,69,33,742
Central African Republic,Robusta,October Group,2006,114,3,13,119
Colombia,Arabica,October Group,2006,12164,1195,1523,11177
Costa Rica,Arabica,October Group,2006,1706,375,140,1371
Côte d'Ivoire,Robusta,October Group,2006,2848,317,716,2018
Democratic Republic of Congo,Robustica/Arabica,October Group,2006,378,200,0,178
El Salvador,Arabica,October Group,2006,1234,254,111,1194
Equatorial Guinea,Robusta,October Group,2006,0,0,0,0
Ethiopia,Arabica,October Group,2006,5551,2748,900,2770
Gabon,Robusta,October Group,2006,1,0,0,1
Ghana,Robusta,October Group,2006,20,1,5,21
Guatemala,Arabica/Robusta,October Group,2006,3950,300,127,3747
Guinea,Robusta,October Group,2006,473,50,8,427
Guyana,Robusta,October Group,2006,8,6,0,2
Honduras,Arabica,October Group,2006,3461,230,82,3215
India,Robustica/Arabica,October Group,2006,4500,1275,1304,3393
Jamaica,Arabica,October Group,2006,40,9,11,22
Kenya,Arabica,October Group,2006,826,50,115,791
Lao People's Democratic Republic,Robusta,October Group,2006,391,140,0,251
Liberia,Robusta,October Group,2006,7,5,0,2
Mexico,Arabica/Robusta,October Group,2006,4200,2000,1418,2893
Nepal,Arabica,October Group,2006,2,0,0,4
Nicaragua,Arabica,October Group,2006,1428,189,16,1213
Nigeria,Robusta,October Group,2006,51,40,0,11
Panama,Arabica,October Group,2006,173,67,21,112
Sierra Leone,Robusta,October Group,2006,31,5,10,34
Sri Lanka,Robustica/Arabica,October Group,2006,33,30,1,4
Thailand,Robustica/Arabica,October Group,2006,822,500,73,384
Togo,Robusta,October Group,2006,134,2,35,147
Trinidad & Tobago,Robusta,October Group,2006,12,11,0,1
Uganda,Robustica/Arabica,October Group,2006,2894,175,265,2704
Venezuela,Arabica,October Group,2006,1571,1518,30,68
Viet Nam,Robustica/Arabica,October Group,2006,19340,917,500,18090
Yemen,Arabica,October Group,2006,207,138,0,69
Angola,Robustica/Arabica,April Group,2007,36,30,140,6
Bolivia (Plurinational State of),Arabica,April Group,2007,116,44,0,73
Brazil,Arabica/Robusta,April Group,2007,38911,17110,18470,28044
Burundi,Arabica/Robusta,April Group,2007,133,1,150,277
Ecuador,Arabica/Robusta,April Group,2007,950,150,8,962
Indonesia,Robustica/Arabica,April Group,2007,7777,3333,30,4418
Madagascar,Robusta,April Group,2007,614,467,8,155
Malawi,Arabica,April Group,2007,19,1,2,20
Papua New Guinea,Arabica/Robusta,April Group,2007,968,2,80,970
Paraguay,Arabica,April Group,2007,39,20,6,25
Peru,Arabica,April Group,2007,3063,220,16,2658
Rwanda,Arabica,April Group,2007,224,1,17,223
Timor-Leste,Arabica,April Group,2007,36,0,0,36
Zimbabwe,Arabica,April Group,2007,31,4,5,32
Congo,Robusta,July Group,2007,3,3,0,0
Cuba,Arabica,July Group,2007,110,224,22,5
Dominican Republic,Arabica/Robusta,July Group,2007,465,378,45,80
Haiti,Arabica,July Group,2007,359,340,0,19
Philippines,Robustica/Arabica,July Group,2007,446,1060,50,13
Tanzania,Arabica/Robusta,July Group,2007,810,47,18,768
Zambia,Arabica,July Group,2007,61,1,0,60
